width,height,megapixels,original_kb,brightness,contrast,complexity,sharpness,minimum_similarity,network_mbps,max_attachment_kb,intended_use,target_quality
810,3186,2.58066,981.0655395684029,198.13360478316267,70.7894423247491,10.722542526787262,6830.575343875454,0.9457702888443126,10.0,1024.0,Cloud storage,68.7290110482317
989,2201,2.176789,1432.8845149871327,157.33437281532628,80.82092906166639,39.35996430384115,1629.3091164041994,0.9087335659225335,10.0,250.0,Website,54.75579686098294
1673,2673,4.471929,2513.7160631763804,102.35993394467499,92.65584195159227,76.23593194842022,5459.765304662645,0.8946753605963255,0.256,1024.0,Cloud storage,68.99346604688651
601,3076,1.848676,1025.1175163009727,218.8268491624999,41.06602865105216,33.377695894859244,3313.412888366865,0.8503154174534857,1.0,250.0,Cloud storage,45.87119035797209
1918,1216,2.332288,1193.6509509571472,118.05886458574284,81.614255684627,60.42173836418443,2220.9481576051853,0.9487622971994882,10.0,5120.0,Cloud storage,79.21393699503199
2182,1262,2.753684,577.3344015028746,72.98255847027059,15.588981580080441,67.52779895517534,4670.713453314624,0.9328264605802136,1.0,2048.0,Cloud storage,72.47645608025341
2725,2447,6.668075,1398.1905649253451,56.76071397183495,68.47223694323773,41.62988890373687,3978.390940044262,0.9215549312000945,10.0,1024.0,Mobile sharing,59.70286859598834
2946,3261,9.606906,1417.6542826961145,117.97630395414885,32.16677382556234,36.49934878542017,5981.151359213754,0.8574303177384545,10.0,250.0,Website,44.560445326396014
4621,1456,6.728176,3413.152640781811,140.8361089448429,77.71185672851308,57.47371030684578,2874.3886870084903,0.8467156671852326,10.0,500.0,Email,49.37242080566796
504,3177,1.601208,629.7071041749272,65.64163801638435,55.08358200826908,15.48959242247981,4889.426606790265,0.8913850040918448,0.256,500.0,Cloud storage,55.910928327072995
3545,2669,9.461605,3181.305612892757,51.653484670059186,24.440472169641225,81.87560849306018,6364.635800417869,0.8625391938335231,5.0,2048.0,Email,59.85955455812164
4858,1340,6.50972,2513.6376079092147,86.7258967505802,22.711276972279943,77.01339651659502,3217.6452143435968,0.8523781383672369,5.0,500.0,Cloud storage,54.35894612379906
2915,1036,3.01994,1867.1387324280993,179.1187106686899,72.55703647607494,38.431629261558506,4409.7964428819805,0.9239754562487712,5.0,2048.0,Mobile sharing,57.49805984840594
788,3232,2.546816,1048.2052017138778,97.6736303432292,26.561935109283752,11.479043353249235,4134.129776635098,0.8472948749659017,1.0,5120.0,Mobile sharing,36.64701224173261
2456,1648,4.047488,1889.4557556475281,39.332735495642524,91.68473705931562,42.54888182931782,5490.009829389489,0.8978653329341056,0.256,2048.0,Mobile sharing,51.476381708574365
2657,979,2.601203,1040.1923587836043,85.72537598745978,41.52551978740418,45.6951370026661,3100.4346491200745,0.8234579327808528,1.0,5120.0,Email,49.53527312398043
2897,904,2.618888,1167.5018464919956,55.629390815734276,68.77920744318493,26.061170274798684,4632.987311108717,0.9429835987068251,5.0,500.0,Cloud storage,71.12581553518899
895,3910,3.49945,529.5548207351173,140.42196918438185,44.6737827089951,71.04275893685788,5667.347730846897,0.8707422228516344,0.256,5120.0,Website,54.02143016071048
